,question,answer,tags,intent,label_tag,label_intent,words
0,Are there charges associated with utilizing the bank's remote deposit capture service?,"Certain banks may impose fees for utilizing their remote deposit capture service, particularly for business accounts. Check with your bank to comprehend any associated fees and whether this service extends to personal accounts.",Remote Deposit,deposits,82,1,are charge associated utilizing bank remote deposit capture service
1,Are there any fees associated with making a deposit?,"Most banks do not charge fees for making deposits into your own account. However, it's essential to check with your bank as policies may vary, especially for certain types of deposits or accounts.",Deposit Fees,deposits,35,1,are fee associated making deposit
2,Do I have to buy insurance for the loan?,"Insurance needs can be different for each loan type. Some need it, like home loans, but others might not. Look at your loan agreement to know what's required.",Loan Insurance,loans,65,3,do i buy insurance loan
3,"If I forget my mobile app password or username, what's the process for recovery?","In case you forget your password or username, the app usually provides a recovery option. Follow the instructions on the login screen or contact customer support for assistance.",Password Recovery,mobile app,76,4,"if i forget mobile app password username , process recovery"
4,What is the daily or monthly limit for money transfers from my account?,"Banks often impose limits on the amount you can transfer in a day or month. Check with your bank to know the specific limits for your account, and whether they can be adjusted if needed.",Transfer Limits,money transfer,89,5,what daily monthly limit money transfer account
5,Is it permissible to deposit cash into the account of another individual?,"Depositing cash into the account of another individual may be subject to restrictions and prerequisites. By and large, banks prefer cash deposits into the account of the designated holder. Verify your bank's policy regarding third-party cash deposits.",Cash Deposit,deposits,27,1,is permissible deposit cash account another individual
6,How do you handle changing the terms of a loan through refinancing?,"If you want to change your loan for better terms, talk to the loan officers about refinancing. It means getting a new loan to pay off the old one, and it could save you money.",Loan Refinancing,loans,66,3,how handle changing term loan refinancing
7,"Are there charges associated with bank transfers, and where can I find the fee details?",Some bank transfers come with charges. Check the bank's website or contact customer support to get information about the fees associated with different types of transfers.,Tranfer Fees,money transfer,88,5,"are charge associated bank transfer , i find fee detail"
8,How long do I have to pay back the loan?,"Loan terms differ. Personal loans usually have shorter times, while home loans might take longer. The loan officer will talk about this when you apply.",Loan Duration,loans,64,3,how long i pay back loan
9,How can I check my deposit history and statements?,"You can check your deposit history and statements through your bank's online or mobile banking services. Log in to your account, navigate to the transaction history or statements section, and review your deposit records.",Deposit History,deposits,36,1,how i check deposit history statement
10,Is there a limit on the amount I can deposit in a single transaction?,Banks may impose limits on the amount you can deposit in a single transaction. These limits can vary based on the type of account and the bank's policies. Check with your bank to know the specific limits for your account.,Deposit Limits,deposits,40,1,is limit amount i deposit single transaction
11,"Do bank transfers incur charges, and where can I retrieve information about associated fees?","Certain types of bank transfers may attract fees. Explore the bank's fee schedule, usually accessible on their website or by contacting customer support, to gain insights into applicable charges.",Tranfer Fees,money transfer,88,5,"do bank transfer incur charge , i retrieve information associated fee"
12,Is it safe to use online banking or apps for transferring money?,"Yes, using online banking or apps to transfer money is safe. Just remember to use a strong password and keep your login details a secret to stay secure.",Online Banking,money transfer,73,5,is safe use online banking apps transferring money
13,What is the loan disbursement process?,"Once your loan is approved, the disbursement process begins. The funds may be directly deposited into your account or paid to the vendor, depending on the loan purpose. Our loan officers will guide you through the disbursement process.",Loan Disbursement,loans,62,3,what loan disbursement process
14,What types of bank cards does the bank offer?,"The bank provides various types of cards, including credit cards, debit cards, and prepaid cards.",Bank Cards,cards,17,0,what type bank card bank offer
15,Is collateral a necessity for obtaining a loan?,"Collateral necessity depends on the loan type. While secured loans may require collateral, unsecured ones, like personal loans, typically don't demand it.",Collateral,loans,30,3,is collateral necessity obtaining loan
16,Do you have daily limits for withdrawals with a debit card?,"Daily withdrawal limits vary based on the account and card type. Information regarding these limits can be found in your account agreement, on the bank's website, or by contacting customer service.",Withdrawal Limits,cards,95,0,do daily limit withdrawal debit card
17,How long does it take to know if my loan is approved?,The approval time varies based on the loan type and how quickly you provide all the necessary documents. The loan officers will give you an estimate when you apply.,Loan Approval,loans,61,3,how long take know loan approved
18,What steps should I follow to alter my mobile app password or update security settings?,"To modify your password or update security settings, access the 'Security' or 'Account Settings' section in the app. Follow the prompts provided to change your password, enable biometric authentication, or adjust other security settings.",Password Change,mobile app,75,4,what step i follow alter mobile app password update security setting
19,List the essential functionalities provided by the bank's mobile app and explain how to utilize them.,"The mobile app encompasses features like checking account balances, transferring funds, handling bill payments, depositing checks, and receiving transaction alerts. Navigate through the app's menu to explore and use these features seamlessly.",App Features,mobile app,8,4,list essential functionality provided bank mobile app explain utilize .
20,What are the daily withdrawal limits for my debit card?,"Daily withdrawal limits vary depending on the type of account and card. You can find this information in your account agreement, on the bank's website, or by contacting customer service.",Withdrawal Limits,cards,95,0,what daily withdrawal limit debit card
